stress,strain,T,strainrate,porosity
0.0,0.0,20,500,0
102.51030077697783,0.0005,20,500,0
205.02060155395566,0.001,20,500,0
307.5309023309335,0.0015,20,500,0
410.0412031079113,0.002,20,500,0
512.5515038848891,0.0025,20,500,0
615.061804661867,0.003,20,500,0
717.5721054388448,0.0035,20,500,0
820.0824062158226,0.004,20,500,0
922.5927069928005,0.0045,20,500,0
1025.1030077697783,0.005,20,500,0
1127.613308546756,0.0055,20,500,0
1230.123609323734,0.006,20,500,0
1244.8354925720955,0.0061,20,500,0
1246.6587459536354,0.0066,20,500,0
1248.502032615038,0.0071,20,500,0
1250.3641310835983,0.0076,20,500,0
1252.2439707071471,0.0081,20,500,0
1254.1406047688347,0.0086,20,500,0
1256.053189695922,0.0091,20,500,0
1257.9809687187471,0.0096,20,500,0
1259.9232588428727,0.0101,20,500,0
1261.87944033036,0.0106,20,500,0
1263.8489481103338,0.0111,20,500,0
1265.8312646932868,0.0116,20,500,0
1267.825914271899,0.0121,20,500,0
1269.832457768499,0.0126,20,500,0
1271.8504886454657,0.0131,20,500,0
1273.8796293362097,0.0136,20,500,0
1275.9195281852235,0.0141,20,500,0
1277.9698568090134,0.0146,20,500,0
1280.0303078074971,0.0151,20,500,0
1282.100592769205,0.0156,20,500,0
1284.1804405243015,0.0161,20,500,0
1286.2695956078664,0.0166,20,500,0
1288.3678169025234,0.0171,20,500,0
1290.4748764348255,0.0176,20,500,0
1292.5905583040949,0.0181,20,500,0
1294.7146577258563,0.0186,20,500,0
1296.8469801748538,0.0191,20,500,0
1298.987340614925,0.0196,20,500,0
1301.1355628049373,0.0201,20,500,0
1303.29147867156,0.0206,20,500,0
1305.4549277409592,0.0211,20,500,0
1307.6257566226159,0.0216,20,500,0
1309.803818539383,0.0221,20,500,0
1311.988972898685,0.0226,20,500,0
1314.181084900421,0.0231,20,500,0
1316.380025177706,0.0236,20,500,0
1318.5856694670551,0.0241,20,500,0
1320.7978983050393,0.0246,20,500,0
1323.016596748787,0.0251,20,500,0
1325.2416541180241,0.0256,20,500,0
1327.4729637565952,0.0261,20,500,0
1329.7104228116555,0.0266,20,500,0
1331.9539320289132,0.0271,20,500,0
1334.2033955624788,0.0276,20,500,0
1336.458720798034,0.0281,20,500,0
1338.7198181881672,0.0286,20,500,0
1340.986601098838,0.0291,20,500,0
1343.258985666042,0.0296,20,500,0
1345.5368906618332,0.0301,20,500,0
1347.820237368952,0.0306,20,500,0
1350.1089494633702,0.0311,20,500,0
1352.4029529041381,0.0316,20,500,0
1354.702175829962,0.0321,20,500,0
1357.0065484620172,0.0326,20,500,0
1359.3160030125146,0.0331,20,500,0
1361.6304735986073,0.0336,20,500,0
1363.9498961612508,0.0341,20,500,0
1366.2742083886578,0.0346,20,500,0
1368.6033496440282,0.0351,20,500,0
1370.937260897259,0.0356,20,500,0
1373.2758846603592,0.0361,20,500,0
1375.619164926322,0.0366,20,500,0
1377.96704711122,0.0371,20,500,0
1380.3194779993214,0.0376,20,500,0
1382.6764056910238,0.0381,20,500,0
1385.0377795534246,0.0386,20,500,0
1387.4035501733706,0.0391,20,500,0
1389.7736693128222,0.0396,20,500,0
1392.1480898664004,0.0401,20,500,0
1394.5267658209714,0.0406,20,500,0
1396.9096522171621,0.0411,20,500,0
1399.2967051126775,0.0416,20,500,0
1401.6878815473247,0.0421,20,500,0
1404.0831395096416,0.0426,20,500,0
1406.482437905037,0.0431,20,500,0
1408.8857365253589,0.0436,20,500,0
1411.292996019812,0.0441,20,500,0
1413.7041778671469,0.0446,20,500,0
1416.119244349055,0.0451,20,500,0
1418.5381585247023,0.0456,20,500,0
1420.9608842063412,0.0461,20,500,0
1423.3873859359442,0.0466,20,500,0
1425.8176289628063,0.0471,20,500,0
1428.2515792220656,0.0476,20,500,0
1430.6892033140948,0.0481,20,500,0
1433.1304684847196,0.0486,20,500,0
1435.5753426062247,0.0491,20,500,0
1438.0237941591058,0.0496,20,500,0
1440.4757922145309,0.0501,20,500,0
1442.9313064174808,0.0506,20,500,0
1445.390306970528,0.0511,20,500,0
1447.8527646182342,0.0516,20,500,0
1450.3186506321272,0.0521,20,500,0
1452.787936796236,0.0526,20,500,0
1455.2605953931566,0.0531,20,500,0
1457.7365991906272,0.0536,20,500,0
1460.215921428582,0.0541,20,500,0
1462.6985358066709,0.0546,20,500,0
1465.1844164722183,0.0551,20,500,0
1467.6735380086066,0.0556,20,500,0
1470.1658754240584,0.0561,20,500,0
1472.6614041408093,0.0566,20,500,0
1475.1600999846492,0.0571,20,500,0
1477.6619391748131,0.0576,20,500,0
1480.1668983142176,0.0581,20,500,0
1482.6749543800152,0.0586,20,500,0
1485.186084714464,0.0591,20,500,0
1487.7002670160932,0.0596,20,500,0
1490.2174793311578,0.0601,20,500,0
1492.737700045364,0.0606,20,500,0
1495.2609078758605,0.0611,20,500,0
1497.7870818634833,0.0616,20,500,0
1500.3162013652409,0.0621,20,500,0
1502.848246047035,0.0626,20,500,0
1505.3831958766077,0.0631,20,500,0
1507.921031116699,0.0636,20,500,0
1510.461732318417,0.0641,20,500,0
1513.005280314806,0.0646,20,500,0
1515.551656214605,0.0651,20,500,0
1518.100841396195,0.0656,20,500,0
1520.652817501721,0.0661,20,500,0
1523.2075664313884,0.0666,20,500,0
1525.7650703379209,0.0671,20,500,0
1528.3253116211818,0.0676,20,500,0
1530.8882729229476,0.0681,20,500,0
1533.4539371218298,0.0686,20,500,0
1536.022287328336,0.0691,20,500,0
1538.5933068800769,0.0696,20,500,0
1541.166979337097,0.0701,20,500,0
1543.743288477342,0.0706,20,500,0
1546.3222182922436,0.0711,20,500,0
1548.903752982429,0.0716,20,500,0
1551.4878769535435,0.0721,20,500,0
1554.074574812184,0.0726,20,500,0
1556.6638313619442,0.0731,20,500,0
1559.2556315995616,0.0736,20,500,0
1561.8499607111657,0.0741,20,500,0
1564.4468040686234,0.0746,20,500,0
1567.0461472259808,0.0751,20,500,0
1569.6479759159965,0.0756,20,500,0
1572.25227604676,0.0761,20,500,0
1574.8590336984003,0.0766,20,500,0
1577.4682351198735,0.0771,20,500,0
1580.079866725834,0.0776,20,500,0
1582.6939150935818,0.0781,20,500,0
1585.3103669600855,0.0786,20,500,0
1587.9292092190794,0.0791,20,500,0
1590.5504289182277,0.0796,20,500,0
1593.174013256364,0.0801,20,500,0
1595.7999495807908,0.0806,20,500,0
1598.4282253846482,0.0811,20,500,0
1601.0588283043417,0.0816,20,500,0
1603.6917461170347,0.0821,20,500,0
1606.3269667381965,0.0826,20,500,0
1608.964478219208,0.0831,20,500,0
1611.6042687450267,0.0836,20,500,0
1614.2463266318996,0.0841,20,500,0
1616.8906403251344,0.0846,20,500,0
1619.5371983969176,0.0851,20,500,0
